,Mean,Mean,Mean,Std Dev,Std Dev,Std Dev,Mean,Mean,Mean,Std Dev,Std Dev,Std Dev,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d,C:\Users\spsagehr\OneDrive - Liverpool John Moores University\Sports biomech\portfolio\TreadmillData\condition_3\Running trial 1.c3d
,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Left GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF,Right GRF
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED,PROCESSED
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-0.005922,-0.014109,0.091253,0.005652,0.004685,0.027653,0.000397,-0.021932,0.103198,0.003862,0.004548,0.04574,-0.005601,-0.007511,0.089604,-0.007099,-0.017524,0.114837,-0.002992,-0.015404,0.145127,-0.006504,-0.017021,0.064373,-0.01717,-0.02413,0.083495,-0.006518,-0.011754,0.066993,-0.009174,-0.019132,0.067584,-0.004242,-0.01573,0.10928,0.001194,-0.013877,0.081885,-0.003393,-0.01103,0.102603,0.001316,-0.011004,0.07627,-0.000957,-0.008019,0.05329,-0.01585,-0.011281,0.130952,-0.001802,-0.026148,0.080305,-0.000799,-0.028081,0.046028,-0.000437,-0.024527,0.087354,0.001166,-0.023596,0.073493,0.0041,-0.027721,0.048722,0.009291,-0.01976,0.103811,-0.005726,-0.024134,0.137396,-0.002122,-0.020104,0.160587,-0.005257,-0.020945,0.075028,0.000674,-0.012065,0.091566,0.000346,-0.014582,0.202965,0.000994,-0.021182,0.16167,0.000576,-0.023589,0.093993,0.004557,-0.020613,0.081852
2,-0.009939,-0.017058,0.19769,0.007326,0.006621,0.041115,-0.000791,-0.025304,0.21148,0.004973,0.006497,0.077431,-0.008215,-0.00951,0.197796,-0.013275,-0.023121,0.245109,-0.005791,-0.021697,0.277722,-0.01094,-0.021939,0.158354,-0.026532,-0.031127,0.190389,-0.009072,-0.01406,0.164849,-0.012494,-0.021725,0.153937,-0.00719,-0.019112,0.224096,-0.001822,-0.01576,0.19092,-0.005147,-0.011569,0.205921,-0.001607,-0.011668,0.172837,-0.005283,-0.010085,0.141187,-0.021839,-0.010378,0.246855,-0.002958,-0.032976,0.189865,-0.003911,-0.035811,0.127256,-0.000758,-0.027739,0.198111,0.000344,-0.02708,0.173602,0.003714,-0.034273,0.125954,0.010711,-0.024527,0.23288,-0.010559,-0.025549,0.269934,-0.00372,-0.02304,0.313801,-0.005998,-0.023621,0.182081,0.000673,-0.012097,0.092468,-0.000695,-0.015698,0.364159,-0.000438,-0.021532,0.301615,-0.001123,-0.025612,0.20034,0.003646,-0.024707,0.18865
3,-0.014813,-0.019414,0.344665,0.008595,0.00887,0.05472,-0.002959,-0.025534,0.359316,0.005988,0.007592,0.120709,-0.011194,-0.012267,0.347926,-0.021451,-0.02961,0.4228,-0.009477,-0.030273,0.448426,-0.016619,-0.025885,0.294791,-0.035969,-0.036061,0.341105,-0.011869,-0.016345,0.306764,-0.01529,-0.021026,0.275972,-0.010742,-0.022037,0.378369,-0.007021,-0.016908,0.345378,-0.007871,-0.01134,0.343327,-0.006859,-0.011318,0.309155,-0.011499,-0.011343,0.271118,-0.026705,-0.007966,0.39551,-0.004137,-0.037032,0.34631,-0.008809,-0.039109,0.249395,-0.001243,-0.026902,0.353478,-0.001854,-0.025909,0.316304,0.001668,-0.03578,0.240016,0.010162,-0.027046,0.412787,-0.016351,-0.022544,0.442707,-0.005905,-0.024505,0.513151,-0.006384,-0.022737,0.335733,0.000672,-0.012128,0.093375,-0.002397,-0.017255,0.562629,-0.003343,-0.018474,0.479227,-0.004613,-0.022791,0.34581,0.001108,-0.025259,0.339501
4,-0.01992,-0.024746,0.524888,0.009333,0.011911,0.06631,-0.00578,-0.024879,0.537897,0.006802,0.007817,0.170032,-0.01468,-0.019263,0.532363,-0.030995,-0.041424,0.636604,-0.013012,-0.04521,0.643603,-0.023638,-0.031373,0.470838,-0.043448,-0.041588,0.52849,-0.015313,-0.022141,0.489529,-0.016941,-0.02007,0.428809,-0.013745,-0.02815,0.562734,-0.01419,-0.021346,0.538005,-0.011228,-0.014575,0.506187,-0.014357,-0.013694,0.480456,-0.019028,-0.014248,0.440398,-0.028382,-0.008612,0.56553,-0.004987,-0.039769,0.544477,-0.014923,-0.036632,0.411229,-0.001656,-0.024395,0.54548,-0.00589,-0.021684,0.495752,-0.002567,-0.031963,0.388888,0.007214,-0.030229,0.632765,-0.021327,-0.019473,0.641152,-0.008005,-0.029008,0.741974,-0.007015,-0.021447,0.529446,0.00067,-0.012159,0.094285,-0.003052,-0.023567,0.777509,-0.006605,-0.016423,0.678456,-0.009734,-0.017731,0.521553,-0.003038,-0.023827,0.527591
5,-0.023342,-0.037821,0.721489,0.010106,0.016111,0.074734,-0.007263,-0.028447,0.728064,0.00756,0.010059,0.219509,-0.01766,-0.034806,0.733697,-0.03906,-0.063241,0.863266,-0.01409,-0.069781,0.842625,-0.030865,-0.042474,0.67308,-0.045729,-0.054011,0.733516,-0.019111,-0.035433,0.699197,-0.015802,-0.024753,0.599261,-0.013669,-0.042022,0.75945,-0.021399,-0.034164,0.749194,-0.012476,-0.02606,0.67881,-0.022367,-0.023717,0.672137,-0.026453,-0.023475,0.635569,-0.02476,-0.017732,0.739556,-0.003953,-0.046778,0.766809,-0.020567,-0.031683,0.599397,-0.000062,-0.026447,0.753557,-0.010306,-0.020582,0.694721,-0.007834,-0.027275,0.560968,0.003869,-0.039337,0.867717,-0.021601,-0.023385,0.840933,-0.007408,-0.042139,0.972261,-0.006642,-0.025982,0.743748,0.000669,-0.01219,0.095199,0.000377,-0.038633,0.980962,-0.007513,-0.021698,0.875093,-0.013754,-0.016519,0.707811,-0.006963,-0.025612,0.733721
6,-0.022942,-0.061321,0.913234,0.011756,0.020741,0.080419,-0.004815,-0.041286,0.906259,0.008948,0.016427,0.264052,-0.018365,-0.061239,0.929876,-0.042698,-0.095991,1.075915,-0.011444,-0.104125,1.026188,-0.035226,-0.062168,0.879675,-0.040358,-0.078369,0.932276,-0.021139,-0.058155,0.913171,-0.009777,-0.039922,0.770288,-0.009812,-0.065585,0.947946,-0.025501,-0.058206,0.952613,-0.009646,-0.048147,0.844677,-0.027926,-0.044176,0.863483,-0.030375,-0.04283,0.835143,-0.015977,-0.038264,0.90079,0.001529,-0.064298,0.986841,-0.022512,-0.032445,0.789945,0.0066,-0.039452,0.95069,-0.011918,-0.029703,0.889308,-0.010491,-0.028925,0.736962,0.004121,-0.058463,1.085261,-0.014791,-0.039537,1.01815,-0.002563,-0.066704,1.174883,-0.002884,-0.041677,0.951077,0.000668,-0.012221,0.096118,0.008875,-0.064392,1.150119,-0.004352,-0.038792,1.046427,-0.012846,-0.025377,0.880531,-0.00684,-0.036024,0.931312
